City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
kapaa,75,US,1569908217,78,22.08,-159.32,80.6,12.75
kisiwani,77,TZ,1569908217,63,-4.13,37.95,78.17,4.74
cape town,0,ZA,1569908217,76,-33.93,18.42,63.0,9.17
tiznit,36,MA,1569908217,62,29.7,-9.73,72.95,1.43
sao jose da coroa grande,39,BR,1569908218,89,-8.9,-35.15,70.79,2.08
atuona,54,PF,1569908130,76,-9.8,-139.03,79.25,15.79
barrow,92,AR,1569908218,56,-38.31,-60.23,46.49,7.38
port elizabeth,90,US,1569908219,77,39.31,-74.98,68.0,3.36
ellensburg,1,US,1569908166,74,47.0,-120.55,45.0,2.84
yantal,94,RU,1569908219,79,56.85,105.25,37.67,8.08
mataura,97,NZ,1569907707,69,-46.19,168.86,48.0,5.99
mehamn,75,NO,1569908220,80,71.03,27.85,42.8,17.22
bilma,1,NE,1569907724,18,18.69,12.92,83.57,14.45
jamestown,0,AU,1569908220,25,-33.21,138.6,80.87,9.35
banda aceh,55,ID,1569908220,74,5.56,95.32,81.95,9.31
tenenkou,84,ML,1569908221,35,14.46,-4.91,83.03,9.91
dikson,77,RU,1569908221,80,73.51,80.55,30.65,13.76
calabozo,100,VE,1569908222,95,8.92,-67.43,73.67,2.89
bonthe,5,SL,1569908222,96,7.53,-12.5,74.39,4.9
adrar,0,DZ,1569908222,17,27.87,-0.29,77.0,4.7
salalah,40,OM,1569908223,70,17.01,54.1,84.2,9.17
rikitea,53,PF,1569908131,81,-23.12,-134.97,68.99,14.65
ushuaia,90,AR,1569908000,80,-54.81,-68.31,33.8,16.11
ambon,90,FR,1569908223,93,47.55,-2.56,63.0,11.41
pevek,97,RU,1569908224,77,69.7,170.27,31.73,3.91
qingdao,0,CN,1569908224,39,36.09,120.35,84.2,8.95
pag,40,HR,1569908224,100,44.45,15.06,60.8,3.36
quatre cocos,75,MU,1569908224,83,-20.21,57.76,77.0,17.22
chuy,78,UY,1569908225,90,-33.69,-53.46,65.21,7.85
port alfred,43,ZA,1569908225,94,-33.59,26.89,55.99,1.99
vila do maio,16,CV,1569908226,87,15.13,-23.22,74.93,5.86
puerto ayora,84,EC,1569908226,95,-0.74,-90.35,68.0,7.0
margate,20,AU,1569908226,41,-43.03,147.26,61.0,10.29
albany,90,US,1569907393,82,42.65,-73.75,60.8,11.41
paita,98,PE,1569908227,92,-5.09,-81.11,63.95,15.08
saint-philippe,90,CA,1569908227,100,45.36,-73.48,48.99,8.05
nanortalik,91,GL,1569908227,60,60.14,-45.24,41.09,7.45
koumac,100,NC,1569908227,77,-20.56,164.28,72.77,21.97
punta arenas,75,CL,1569908228,69,-53.16,-70.91,35.6,18.34
thompson,90,CA,1569908228,64,55.74,-97.86,33.8,3.36
sorland,0,NO,1569908229,80,67.67,12.69,41.0,9.17
north bend,90,US,1569908229,93,43.41,-124.22,50.0,4.7
broome,40,GB,1569908229,93,52.47,1.45,59.0,10.29
emba,20,CY,1569908230,49,34.81,32.42,73.4,5.82
meadow lake,97,CA,1569908230,95,54.13,-108.44,28.67,1.63
lebu,75,ET,1569908230,87,8.96,38.73,60.8,2.24
bluff,25,AU,1569908230,22,-23.58,149.07,86.81,3.02
tautira,75,PF,1569908231,69,-17.73,-149.15,78.8,4.7
narsaq,52,GL,1569908231,27,60.91,-46.05,51.8,25.28
busselton,0,AU,1569907691,35,-33.64,115.35,70.0,4.9
nakamura,20,JP,1569908232,66,35.17,136.87,87.01,17.22
nuuk,57,GL,1569908232,58,64.17,-51.74,37.4,11.41
hilo,75,US,1569908232,74,19.71,-155.08,78.8,15.77
valdivia,90,CL,1569908232,100,-39.81,-73.25,41.0,6.93
geraldton,90,CA,1569908233,93,49.72,-86.95,42.8,6.93
road town,20,VG,1569908233,78,18.42,-64.62,82.99,10.29
sitka,100,US,1569907692,79,37.17,-99.65,77.0,17.0
cabo san lucas,100,MX,1569908084,74,22.89,-109.91,75.0,6.71
dunedin,65,NZ,1569908180,43,-45.87,170.5,51.01,7.0
atbasar,0,KZ,1569908234,45,51.81,68.36,43.97,6.46
sturgeon falls,90,CA,1569908234,98,46.36,-79.93,55.99,5.82
tiksi,100,RU,1569908235,88,71.64,128.87,27.23,25.57
tuktoyaktuk,40,CA,1569908235,87,69.44,-133.03,42.8,19.46
ponta do sol,0,BR,1569908235,77,-20.63,-46.0,62.33,7.38
imphal,75,IN,1569908236,74,24.8,93.94,80.6,5.82
hrodna,75,BY,1569908236,81,53.68,23.83,48.2,8.95
castro,20,CL,1569908237,94,-42.48,-73.76,32.0,2.35
naze,93,NG,1569908237,93,5.43,7.07,73.67,1.74
olot,39,ES,1569908238,100,42.18,2.49,66.99,2.01
marsa matruh,20,EG,1569908238,94,31.35,27.25,68.0,4.7
coquimbo,0,CL,1569908238,87,-29.95,-71.34,50.0,4.7
tasiilaq,78,GL,1569908239,86,65.61,-37.64,33.8,5.82
opuwo,0,NA,1569908239,26,-18.06,13.84,65.03,7.31
chapais,90,CA,1569908239,93,49.78,-74.86,35.6,5.82
